ID Proceso,Tiempo de Llegada,Duración de la Ráfaga,Inicio de Ejecución,Fin de Ejecución
13,15,4,15,19
1,19,5,19,24
27,24,15,24,39
19,39,5,39,44
27,24,1,44,45
19,39,10,45,55
14,50,14,55,69
20,50,6,69,75
3,29,3,75,78
15,38,6,78,84
25,42,5,84,89
3,29,8,89,97
22,34,2,97,99
1,19,5,99,104
22,34,3,104,107
9,27,15,107,122
28,29,7,122,129
22,34,4,129,133
25,42,10,133,143
23,44,11,143,154
29,47,6,154,160
17,49,19,160,179
11,52,16,179,195
26,54,11,195,206
8,56,3,206,209
16,56,14,209,223
18,56,10,223,233
2,58,8,233,241
5,61,8,241,249
6,62,12,249,261
7,63,7,261,268
21,63,14,268,282
12,64,10,282,292
4,65,8,292,300
30,66,19,300,319
24,70,7,319,326
10,72,9,326,335
