ID Proceso,Tiempo de Llegada,Duración de la Ráfaga,Inicio de Ejecución,Fin de Ejecución
19,39,15,39,54
14,50,14,54,68
20,50,6,68,74
27,24,16,74,90
21,63,14,90,104
30,66,19,104,123
15,38,6,123,129
25,42,15,129,144
11,52,16,144,160
8,56,3,160,163
7,63,7,163,170
12,64,10,170,180
4,65,8,180,188
10,72,9,188,197
13,15,4,197,201
3,29,11,201,212
22,34,9,212,221
29,47,6,221,227
17,49,19,227,246
26,54,11,246,257
1,19,10,257,267
9,27,15,267,282
28,29,7,282,289
23,44,11,289,300
16,56,14,300,314
18,56,10,314,324
2,58,8,324,332
5,61,8,332,340
6,62,12,340,352
24,70,7,352,359
