ID Proceso,Tiempo de Llegada,Duración de la Ráfaga,Inicio de Ejecución,Fin de Ejecución
13,15,4,15,19
1,19,4,19,23
1,19,4,23,27
27,24,4,27,31
9,27,4,31,35
3,29,4,35,39
28,29,4,39,43
22,34,4,43,47
15,38,4,47,51
19,39,4,51,55
25,42,4,55,59
23,44,4,59,63
29,47,4,63,67
17,49,4,67,71
14,50,4,71,75
20,50,4,75,79
11,52,4,79,83
26,54,4,83,87
8,56,3,87,90
16,56,4,90,94
18,56,4,94,98
2,58,4,98,102
5,61,4,102,106
6,62,4,106,110
7,63,4,110,114
21,63,4,114,118
12,64,4,118,122
4,65,4,122,126
30,66,4,126,130
24,70,4,130,134
10,72,4,134,138
1,19,2,138,140
27,24,4,140,144
9,27,4,144,148
3,29,4,148,152
28,29,3,152,155
22,34,4,155,159
15,38,2,159,161
19,39,4,161,165
25,42,4,165,169
23,44,4,169,173
29,47,2,173,175
17,49,4,175,179
14,50,4,179,183
20,50,2,183,185
11,52,4,185,189
26,54,4,189,193
16,56,4,193,197
18,56,4,197,201
2,58,4,201,205
5,61,4,205,209
6,62,4,209,213
7,63,3,213,216
21,63,4,216,220
12,64,4,220,224
4,65,4,224,228
30,66,4,228,232
24,70,3,232,235
10,72,4,235,239
27,24,4,239,243
9,27,4,243,247
3,29,3,247,250
22,34,1,250,251
19,39,4,251,255
25,42,4,255,259
23,44,3,259,262
17,49,4,262,266
14,50,4,266,270
11,52,4,270,274
26,54,3,274,277
16,56,4,277,281
18,56,2,281,283
6,62,4,283,287
21,63,4,287,291
12,64,2,291,293
30,66,4,293,297
10,72,1,297,298
27,24,4,298,302
9,27,3,302,305
19,39,3,305,308
25,42,3,308,311
17,49,4,311,315
14,50,2,315,317
11,52,4,317,321
16,56,2,321,323
21,63,2,323,325
30,66,4,325,329
17,49,3,329,332
30,66,3,332,335
