ID Proceso,Tiempo de Llegada,Duración de la Ráfaga,Inicio de Ejecución,Fin de Ejecución
8,56,3,56,59
13,15,4,59,63
15,38,6,63,69
20,50,6,69,75
29,47,6,75,81
7,63,7,81,88
24,70,7,88,95
28,29,7,95,102
2,58,8,102,110
4,65,8,110,118
5,61,8,118,126
10,72,9,126,135
22,34,9,135,144
1,19,10,144,154
12,64,10,154,164
18,56,10,164,174
3,29,11,174,185
23,44,11,185,196
26,54,11,196,207
6,62,12,207,219
14,50,14,219,233
16,56,14,233,247
21,63,14,247,261
9,27,15,261,276
19,39,15,276,291
25,42,15,291,306
11,52,16,306,322
27,24,16,322,338
17,49,19,338,357
30,66,19,357,376
