ID Proceso,Tiempo de Llegada,Duración de la Ráfaga,Inicio de Ejecución,Fin de Ejecución
1,0,18,0,18
2,5,18,18,36
3,10,5,36,41
4,15,4,41,45
5,20,4,45,49
6,25,20,49,69
7,30,2,69,71
8,35,4,71,75
9,40,11,75,86
10,45,2,86,88
11,50,10,88,98
12,55,17,98,115
13,60,7,115,122
14,65,18,122,140
15,70,12,140,152
16,75,15,152,167
17,80,16,167,183
18,85,11,183,194
19,90,4,194,198
20,95,7,198,205
21,100,17,205,222
22,105,9,222,231
23,110,3,231,234
24,115,12,234,246
25,120,5,246,251
26,125,11,251,262
27,130,13,262,275
28,135,5,275,280
29,140,1,280,281
30,145,12,281,293
