ID Proceso,Tiempo de Llegada,Duración de la Ráfaga,Inicio de Ejecución,Fin de Ejecución
1,0,5,0,5
2,5,18,5,23
4,15,4,23,27
3,10,5,27,32
7,30,2,32,34
6,25,6,34,40
1,0,5,40,45
6,25,14,45,59
12,55,1,59,60
1,0,8,60,68
5,20,4,68,72
12,55,16,72,88
13,60,7,88,95
14,65,15,95,110
11,50,5,110,115
8,35,4,115,119
11,50,1,119,120
9,40,11,120,131
10,45,2,131,133
11,50,4,133,137
14,65,3,137,140
16,75,10,140,150
15,70,12,150,162
16,75,5,162,167
17,80,16,167,183
18,85,11,183,194
19,90,4,194,198
20,95,7,198,205
21,100,17,205,222
22,105,9,222,231
23,110,3,231,234
24,115,12,234,246
25,120,5,246,251
26,125,11,251,262
27,130,13,262,275
28,135,5,275,280
29,140,1,280,281
30,145,12,281,293
