ID Proceso,Tiempo de Llegada,Duración de la Ráfaga,Inicio de Ejecución,Fin de Ejecución
2,5,18,5,23
4,15,4,23,27
7,30,2,30,32
12,55,17,55,72
13,60,7,72,79
14,65,18,79,97
20,95,7,97,104
3,10,5,104,109
6,25,20,109,129
16,75,15,129,144
19,90,4,144,148
27,130,13,148,161
5,20,4,161,165
18,85,11,165,176
21,100,17,176,193
23,110,3,193,196
25,120,5,196,201
26,125,11,201,212
30,145,12,212,224
1,0,18,224,242
11,50,10,242,252
24,115,12,252,264
29,140,1,264,265
8,35,4,265,269
9,40,11,269,280
10,45,2,280,282
15,70,12,282,294
17,80,16,294,310
22,105,9,310,319
28,135,5,319,324
