ID Proceso,Tiempo de Llegada,Duración de la Ráfaga,Inicio de Ejecución,Fin de Ejecución
1,0,4,0,4
1,0,4,4,8
2,5,4,8,12
3,10,4,12,16
4,15,4,16,20
5,20,4,20,24
1,0,4,24,28
2,5,4,28,32
3,10,1,32,33
6,25,4,33,37
7,30,2,37,39
8,35,4,39,43
9,40,4,43,47
10,45,2,47,49
1,0,4,49,53
2,5,4,53,57
6,25,4,57,61
9,40,4,61,65
11,50,4,65,69
12,55,4,69,73
13,60,4,73,77
14,65,4,77,81
15,70,4,81,85
16,75,4,85,89
17,80,4,89,93
18,85,4,93,97
19,90,4,97,101
20,95,4,101,105
21,100,4,105,109
22,105,4,109,113
23,110,3,113,116
24,115,4,116,120
25,120,4,120,124
1,0,2,124,126
2,5,4,126,130
6,25,4,130,134
9,40,3,134,137
11,50,4,137,141
12,55,4,141,145
13,60,3,145,148
14,65,4,148,152
15,70,4,152,156
16,75,4,156,160
17,80,4,160,164
18,85,4,164,168
20,95,3,168,171
21,100,4,171,175
22,105,4,175,179
24,115,4,179,183
25,120,1,183,184
26,125,4,184,188
27,130,4,188,192
28,135,4,192,196
29,140,1,196,197
30,145,4,197,201
2,5,2,201,203
6,25,4,203,207
11,50,2,207,209
12,55,4,209,213
14,65,4,213,217
15,70,4,217,221
16,75,4,221,225
17,80,4,225,229
18,85,3,229,232
21,100,4,232,236
22,105,1,236,237
24,115,4,237,241
26,125,4,241,245
27,130,4,245,249
28,135,1,249,250
30,145,4,250,254
6,25,4,254,258
12,55,4,258,262
14,65,4,262,266
16,75,3,266,269
17,80,4,269,273
21,100,4,273,277
26,125,3,277,280
27,130,4,280,284
30,145,4,284,288
12,55,1,288,289
14,65,2,289,291
21,100,1,291,292
27,130,1,292,293
