ID Proceso,Tiempo de Llegada,Duración de la Ráfaga,Inicio de Ejecución,Fin de Ejecución
29,140,1,140,141
7,30,2,141,143
10,45,2,143,145
23,110,3,145,148
4,15,4,148,152
5,20,4,152,156
8,35,4,156,160
19,90,4,160,164
3,10,5,164,169
25,120,5,169,174
28,135,5,174,179
13,60,7,179,186
20,95,7,186,193
22,105,9,193,202
11,50,10,202,212
9,40,11,212,223
18,85,11,223,234
26,125,11,234,245
15,70,12,245,257
24,115,12,257,269
30,145,12,269,281
27,130,13,281,294
16,75,15,294,309
17,80,16,309,325
12,55,17,325,342
21,100,17,342,359
1,0,18,359,377
2,5,18,377,395
14,65,18,395,413
6,25,20,413,433
