ID Proceso,Tiempo de Llegada,Duración de la Ráfaga,Inicio de Ejecución,Fin de Ejecución
1,0,5,0,5
2,0,10,5,15
3,0,15,15,30
4,0,5,30,35
5,0,10,35,45
6,10,15,45,60
7,10,5,60,65
8,10,10,65,75
9,10,15,75,90
10,10,5,90,95
11,20,10,95,105
12,20,15,105,120
13,20,5,120,125
14,20,10,125,135
15,20,15,135,150
16,30,5,150,155
17,30,10,155,165
18,30,15,165,180
19,30,5,180,185
20,30,10,185,195
21,40,15,195,210
22,40,5,210,215
23,40,10,215,225
24,40,15,225,240
25,40,5,240,245
26,50,10,245,255
27,50,15,255,270
28,50,5,270,275
29,50,10,275,285
30,50,15,285,300
