ID Proceso,Tiempo de Llegada,Duración de la Ráfaga,Inicio de Ejecución,Fin de Ejecución
5,0,10,0,10
7,10,5,10,15
8,10,5,15,20
1,0,5,20,25
8,10,5,25,30
6,10,15,30,45
9,10,15,45,60
2,0,10,60,70
4,0,5,70,75
10,10,5,75,80
3,0,15,80,95
12,20,5,95,100
11,20,10,100,110
12,20,10,110,120
13,20,5,120,125
14,20,10,125,135
15,20,15,135,150
16,30,5,150,155
17,30,10,155,165
18,30,15,165,180
19,30,5,180,185
20,30,10,185,195
21,40,15,195,210
22,40,5,210,215
23,40,10,215,225
24,40,15,225,240
25,40,5,240,245
26,50,10,245,255
27,50,15,255,270
28,50,5,270,275
29,50,10,275,285
30,50,15,285,300
