ID Proceso,Tiempo de Llegada,Duración de la Ráfaga,Inicio de Ejecución,Fin de Ejecución
5,0,10,0,10
7,10,5,10,15
8,10,10,15,25
9,10,15,25,40
13,20,5,40,45
15,20,15,45,60
17,30,10,60,70
27,50,15,70,85
29,50,10,85,95
30,50,15,95,110
1,0,5,110,115
6,10,15,115,130
14,20,10,130,140
16,30,5,140,145
18,30,15,145,160
19,30,5,160,165
20,30,10,165,175
21,40,15,175,190
23,40,10,190,200
24,40,15,200,215
25,40,5,215,220
26,50,10,220,230
28,50,5,230,235
2,0,10,235,245
4,0,5,245,250
10,10,5,250,255
12,20,15,255,270
22,40,5,270,275
3,0,15,275,290
11,20,10,290,300
