ID Proceso,Tiempo de Llegada,Duración de la Ráfaga,Inicio de Ejecución,Fin de Ejecución
1,0,4,0,4
2,0,4,4,8
3,0,4,8,12
4,0,4,12,16
5,0,4,16,20
6,10,4,20,24
7,10,4,24,28
8,10,4,28,32
9,10,4,32,36
10,10,4,36,40
11,20,4,40,44
12,20,4,44,48
13,20,4,48,52
14,20,4,52,56
15,20,4,56,60
16,30,4,60,64
17,30,4,64,68
18,30,4,68,72
19,30,4,72,76
20,30,4,76,80
21,40,4,80,84
22,40,4,84,88
23,40,4,88,92
24,40,4,92,96
25,40,4,96,100
26,50,4,100,104
27,50,4,104,108
28,50,4,108,112
29,50,4,112,116
30,50,4,116,120
1,0,1,120,121
2,0,4,121,125
3,0,4,125,129
4,0,1,129,130
5,0,4,130,134
6,10,4,134,138
7,10,1,138,139
8,10,4,139,143
9,10,4,143,147
10,10,1,147,148
11,20,4,148,152
12,20,4,152,156
13,20,1,156,157
14,20,4,157,161
15,20,4,161,165
16,30,1,165,166
17,30,4,166,170
18,30,4,170,174
19,30,1,174,175
20,30,4,175,179
21,40,4,179,183
22,40,1,183,184
23,40,4,184,188
24,40,4,188,192
25,40,1,192,193
26,50,4,193,197
27,50,4,197,201
28,50,1,201,202
29,50,4,202,206
30,50,4,206,210
2,0,2,210,212
3,0,4,212,216
5,0,2,216,218
6,10,4,218,222
8,10,2,222,224
9,10,4,224,228
11,20,2,228,230
12,20,4,230,234
14,20,2,234,236
15,20,4,236,240
17,30,2,240,242
18,30,4,242,246
20,30,2,246,248
21,40,4,248,252
23,40,2,252,254
24,40,4,254,258
26,50,2,258,260
27,50,4,260,264
29,50,2,264,266
30,50,4,266,270
3,0,3,270,273
6,10,3,273,276
9,10,3,276,279
12,20,3,279,282
15,20,3,282,285
18,30,3,285,288
21,40,3,288,291
24,40,3,291,294
27,50,3,294,297
30,50,3,297,300
