ID Proceso,Tiempo de Llegada,Duración de la Ráfaga,Inicio de Ejecución,Fin de Ejecución
1,0,5,0,5
4,0,5,5,10
7,10,5,10,15
10,10,5,15,20
13,20,5,20,25
16,30,5,30,35
19,30,5,35,40
22,40,5,40,45
25,40,5,45,50
28,50,5,50,55
2,0,10,55,65
5,0,10,65,75
8,10,10,75,85
11,20,10,85,95
14,20,10,95,105
17,30,10,105,115
20,30,10,115,125
23,40,10,125,135
26,50,10,135,145
29,50,10,145,155
3,0,15,155,170
6,10,15,170,185
9,10,15,185,200
12,20,15,200,215
15,20,15,215,230
18,30,15,230,245
21,40,15,245,260
24,40,15,260,275
27,50,15,275,290
30,50,15,290,305
