ID Proceso,Tiempo de Llegada,Duración de la Ráfaga,Inicio de Ejecución,Fin de Ejecución
23,0,18,0,18
14,1,15,18,33
21,8,17,33,50
29,13,11,50,61
13,15,13,61,74
19,19,12,74,86
9,20,3,86,89
7,25,11,89,100
16,31,4,100,104
2,39,16,104,120
1,44,10,120,130
26,46,1,130,131
12,47,18,131,149
10,50,15,149,164
28,55,2,164,166
17,59,4,166,170
8,65,16,170,186
5,66,3,186,189
20,66,7,189,196
27,69,13,196,209
3,70,18,209,227
22,73,10,227,237
24,73,20,237,257
30,73,18,257,275
18,80,9,275,284
25,86,15,284,299
4,93,19,299,318
6,94,15,318,333
15,96,12,333,345
11,98,10,345,355
