ID Proceso,Tiempo de Llegada,Duración de la Ráfaga,Inicio de Ejecución,Fin de Ejecución
23,0,1,0,1
14,1,7,1,8
21,8,13,8,21
14,1,8,21,29
21,8,4,29,33
29,13,7,33,40
23,0,17,40,57
29,13,4,57,61
13,15,13,61,74
9,20,3,74,77
7,25,2,77,79
19,19,12,79,91
7,25,9,91,100
16,31,4,100,104
10,50,2,104,106
26,46,1,106,107
12,47,12,107,119
2,39,16,119,135
1,44,10,135,145
12,47,6,145,151
10,50,13,151,164
28,55,2,164,166
17,59,4,166,170
8,65,16,170,186
5,66,3,186,189
20,66,7,189,196
27,69,13,196,209
3,70,18,209,227
22,73,10,227,237
24,73,20,237,257
30,73,18,257,275
18,80,9,275,284
25,86,15,284,299
4,93,19,299,318
6,94,15,318,333
15,96,12,333,345
11,98,10,345,355
