ID Proceso,Tiempo de Llegada,Duración de la Ráfaga,Inicio de Ejecución,Fin de Ejecución
21,8,17,8,25
29,13,11,25,36
10,50,15,50,65
28,55,2,65,67
5,66,3,67,70
14,1,15,70,85
17,59,4,85,89
8,65,16,89,105
27,69,13,105,118
3,70,18,118,136
23,0,18,136,154
13,15,13,154,167
9,20,3,167,170
7,25,11,170,181
30,73,18,181,199
18,80,9,199,208
25,86,15,208,223
4,93,19,223,242
19,19,12,242,254
16,31,4,254,258
26,46,1,258,259
12,47,18,259,277
20,66,7,277,284
24,73,20,284,304
6,94,15,304,319
2,39,16,319,335
1,44,10,335,345
22,73,10,345,355
15,96,12,355,367
11,98,10,367,377
