ID Proceso,Tiempo de Llegada,Duración de la Ráfaga,Inicio de Ejecución,Fin de Ejecución
23,0,4,0,4
14,1,4,4,8
21,8,4,8,12
23,0,4,12,16
14,1,4,16,20
21,8,4,20,24
29,13,4,24,28
13,15,4,28,32
19,19,4,32,36
9,20,3,36,39
7,25,4,39,43
16,31,4,43,47
2,39,4,47,51
1,44,4,51,55
26,46,1,55,56
12,47,4,56,60
10,50,4,60,64
28,55,2,64,66
17,59,4,66,70
8,65,4,70,74
5,66,3,74,77
20,66,4,77,81
27,69,4,81,85
3,70,4,85,89
22,73,4,89,93
24,73,4,93,97
30,73,4,97,101
18,80,4,101,105
25,86,4,105,109
4,93,4,109,113
6,94,4,113,117
15,96,4,117,121
11,98,4,121,125
23,0,4,125,129
14,1,4,129,133
21,8,4,133,137
29,13,4,137,141
13,15,4,141,145
19,19,4,145,149
7,25,4,149,153
2,39,4,153,157
1,44,4,157,161
12,47,4,161,165
10,50,4,165,169
8,65,4,169,173
20,66,3,173,176
27,69,4,176,180
3,70,4,180,184
22,73,4,184,188
24,73,4,188,192
30,73,4,192,196
18,80,4,196,200
25,86,4,200,204
4,93,4,204,208
6,94,4,208,212
15,96,4,212,216
11,98,4,216,220
23,0,4,220,224
14,1,3,224,227
21,8,4,227,231
29,13,3,231,234
13,15,4,234,238
19,19,4,238,242
7,25,3,242,245
2,39,4,245,249
1,44,2,249,251
12,47,4,251,255
10,50,4,255,259
8,65,4,259,263
27,69,4,263,267
3,70,4,267,271
22,73,2,271,273
24,73,4,273,277
30,73,4,277,281
18,80,1,281,282
25,86,4,282,286
4,93,4,286,290
6,94,4,290,294
15,96,4,294,298
11,98,2,298,300
23,0,2,300,302
21,8,1,302,303
13,15,1,303,304
2,39,4,304,308
12,47,4,308,312
10,50,3,312,315
8,65,4,315,319
27,69,1,319,320
3,70,4,320,324
24,73,4,324,328
30,73,4,328,332
25,86,3,332,335
4,93,4,335,339
6,94,3,339,342
12,47,2,342,344
3,70,2,344,346
24,73,4,346,350
30,73,2,350,352
4,93,3,352,355
