ID Proceso,Tiempo de Llegada,Duración de la Ráfaga,Inicio de Ejecución,Fin de Ejecución
26,46,1,46,47
28,55,2,55,57
5,66,3,66,69
9,20,3,69,72
16,31,4,72,76
17,59,4,76,80
20,66,7,80,87
18,80,9,87,96
1,44,10,96,106
11,98,10,106,116
22,73,10,116,126
7,25,11,126,137
29,13,11,137,148
15,96,12,148,160
19,19,12,160,172
13,15,13,172,185
27,69,13,185,198
6,94,15,198,213
10,50,15,213,228
14,1,15,228,243
25,86,15,243,258
2,39,16,258,274
8,65,16,274,290
21,8,17,290,307
3,70,18,307,325
12,47,18,325,343
23,0,18,343,361
30,73,18,361,379
4,93,19,379,398
24,73,20,398,418
