ID Proceso,Tiempo de Llegada,Duración de la Ráfaga,Inicio de Ejecución,Fin de Ejecución
29,8,14,8,22
19,12,9,22,31
30,12,3,31,34
12,13,6,34,40
9,16,12,40,52
8,17,16,52,68
5,27,15,68,83
20,27,13,83,96
6,29,8,96,104
21,29,15,104,119
13,31,15,119,134
22,34,14,134,148
10,36,9,148,157
28,36,15,157,172
26,39,20,172,192
23,44,13,192,205
7,46,16,205,221
24,46,18,221,239
14,50,5,239,244
17,57,13,244,257
18,66,10,257,267
25,70,3,267,270
16,72,3,270,273
3,73,14,273,287
11,73,13,287,300
2,76,9,300,309
27,76,7,309,316
1,82,20,316,336
4,85,14,336,350
15,86,9,350,359
