ID Proceso,Tiempo de Llegada,Duración de la Ráfaga,Inicio de Ejecución,Fin de Ejecución
19,12,9,12,21
30,12,3,21,24
9,16,12,24,36
8,17,16,36,52
5,27,15,52,67
20,27,13,67,80
6,29,8,80,88
21,29,15,88,103
10,36,9,103,112
28,36,15,112,127
23,44,13,127,140
14,50,5,140,145
18,66,10,145,155
25,70,3,155,158
27,76,7,158,165
29,8,14,165,179
12,13,6,179,185
13,31,15,185,200
22,34,14,200,214
26,39,20,214,234
7,46,16,234,250
24,46,18,250,268
17,57,13,268,281
16,72,3,281,284
3,73,14,284,298
11,73,13,298,311
2,76,9,311,320
1,82,20,320,340
4,85,14,340,354
15,86,9,354,363
