ID Proceso,Tiempo de Llegada,Duración de la Ráfaga,Inicio de Ejecución,Fin de Ejecución
29,8,4,8,12
19,12,4,12,16
30,12,3,16,19
12,13,4,19,23
9,16,4,23,27
8,17,4,27,31
5,27,4,31,35
20,27,4,35,39
6,29,4,39,43
21,29,4,43,47
13,31,4,47,51
22,34,4,51,55
10,36,4,55,59
28,36,4,59,63
26,39,4,63,67
23,44,4,67,71
7,46,4,71,75
24,46,4,75,79
14,50,4,79,83
17,57,4,83,87
18,66,4,87,91
25,70,3,91,94
16,72,3,94,97
3,73,4,97,101
11,73,4,101,105
2,76,4,105,109
27,76,4,109,113
1,82,4,113,117
4,85,4,117,121
15,86,4,121,125
29,8,4,125,129
19,12,4,129,133
12,13,2,133,135
9,16,4,135,139
8,17,4,139,143
5,27,4,143,147
20,27,4,147,151
6,29,4,151,155
21,29,4,155,159
13,31,4,159,163
22,34,4,163,167
10,36,4,167,171
28,36,4,171,175
26,39,4,175,179
23,44,4,179,183
7,46,4,183,187
24,46,4,187,191
14,50,1,191,192
17,57,4,192,196
18,66,4,196,200
3,73,4,200,204
11,73,4,204,208
2,76,4,208,212
27,76,3,212,215
1,82,4,215,219
4,85,4,219,223
15,86,4,223,227
29,8,4,227,231
19,12,1,231,232
9,16,4,232,236
8,17,4,236,240
5,27,4,240,244
20,27,4,244,248
21,29,4,248,252
13,31,4,252,256
22,34,4,256,260
10,36,1,260,261
28,36,4,261,265
26,39,4,265,269
23,44,4,269,273
7,46,4,273,277
24,46,4,277,281
17,57,4,281,285
18,66,2,285,287
3,73,4,287,291
11,73,4,291,295
2,76,1,295,296
1,82,4,296,300
4,85,4,300,304
15,86,1,304,305
29,8,2,305,307
8,17,4,307,311
5,27,3,311,314
20,27,1,314,315
21,29,3,315,318
13,31,3,318,321
22,34,2,321,323
28,36,3,323,326
26,39,4,326,330
23,44,1,330,331
7,46,4,331,335
24,46,4,335,339
17,57,1,339,340
3,73,2,340,342
11,73,1,342,343
1,82,4,343,347
4,85,2,347,349
26,39,4,349,353
24,46,2,353,355
1,82,4,355,359
