ID Proceso,Tiempo de Llegada,Duración de la Ráfaga,Inicio de Ejecución,Fin de Ejecución
16,72,3,72,75
25,70,3,75,78
30,12,3,78,81
14,50,5,81,86
12,13,6,86,92
27,76,7,92,99
6,29,8,99,107
2,76,9,107,116
10,36,9,116,125
15,86,9,125,134
19,12,9,134,143
18,66,10,143,153
9,16,12,153,165
11,73,13,165,178
17,57,13,178,191
20,27,13,191,204
23,44,13,204,217
3,73,14,217,231
4,85,14,231,245
22,34,14,245,259
29,8,14,259,273
5,27,15,273,288
13,31,15,288,303
21,29,15,303,318
28,36,15,318,333
7,46,16,333,349
8,17,16,349,365
24,46,18,365,383
1,82,20,383,403
26,39,20,403,423
